property_id,neighborhood,property_type,bedrooms,bathrooms,square_feet,lot_size,age,stories,condition,garage_spaces,has_pool,has_fireplace,has_deck,has_fence,has_central_heat,has_central_air,years_since_roof_replaced,years_since_hvac_replaced,kitchen_updated,bathrooms_updated,has_hoa,hoa_fee,has_special_assessment,school_rating,walk_score,transit_score,listing_month,is_spring_summer,annual_tax,estimated_rent,days_on_market,price_reductions,is_foreclosure,has_lien,owner_occupied,num_distress_keywords,estimated_repair_cost,parking_type,heating_type,cooling_type,roof_type,foundation_type,flooring_type,exterior_type,water_source,sewer_type,listing_season,listed_price,true_market_value,spread,spread_percentage
PROP_0010,Norwich,Townhouse,2,3.0,1304.0,8712.0,65,1,Poor,1,0,0,0,1,0,0,21,20,0,1,1,376,0,7,52,44,1,0,3775,1017,60,1,0,0,1,0,14079,Carport,Electric,Central AC,Asphalt Shingle,Slab,Carpet,Stucco,Municipal,Municipal,Winter,159900.0,152628,-7272.0,-4.76
PROP_0011,Stamford,Single Family,5,4.0,3648.0,7405.200000000001,48,3,Fair,3,0,0,1,0,1,1,25,20,1,1,0,0,0,8,57,54,3,0,16576,5520,180,2,0,0,1,0,43499,Garage,Gas,Central AC,Asphalt Shingle,Basement,Laminate,Vinyl Siding,Well,Municipal,Winter,915000.0,1239686,324686.0,26.19
PROP_0012,Milford,Single Family,3,1.0,1095.0,9147.6,48,1,Poor,2,0,1,0,1,1,1,20,20,0,0,0,0,0,6,87,82,11,0,5681,1488,30,1,0,0,0,1,15270,Street,Gas,Central AC,Metal,Slab,Hardwood,Wood,Municipal,Municipal,Fall,239900.0,219524,-20376.0,-9.28
PROP_0013,Wallingford,Single Family,2,2.0,1243.0,14374.800000000001,58,1,Poor,1,0,0,0,0,1,0,25,20,0,0,0,0,0,7,68,61,8,1,5859,1518,90,0,0,0,0,0,14644,Carport,Oil,Central AC,Metal,Crawl Space,Tile,Vinyl Siding,Municipal,Municipal,Summer,279900.0,258147,-21753.0,-8.43
PROP_0014,Harwinton,Condo,2,1.0,894.0,10890.0,57,1,Fair,1,0,0,0,1,1,0,25,20,0,1,1,223,0,7,90,80,9,0,7655,2191,10,1,0,0,1,0,18036,Garage,Gas,Window Units,Asphalt Shingle,Crawl Space,Laminate,Wood,Municipal,Septic,Summer,339900.0,383582,43682.0,11.39
PROP_0015,Bloomfield,Single Family,2,3.0,2128.0,24829.199999999997,53,1,Fair,1,0,1,1,1,1,1,25,20,0,1,0,0,0,6,66,62,8,1,6655,2794,30,0,0,1,1,0,24240,Carport,Gas,Central AC,Asphalt Shingle,Slab,Laminate,Vinyl Siding,Municipal,Municipal,Summer,475000.0,598511,123511.0,20.64
PROP_0016,Southington,Single Family,4,3.0,2377.0,16988.4,55,2,Poor,3,0,0,0,1,1,0,25,20,0,1,0,0,0,7,83,62,6,1,5148,1456,30,0,1,0,0,0,15567,Driveway,Electric,Window Units,Metal,Crawl Space,Hardwood,Vinyl Siding,Municipal,Municipal,Spring,250000.0,261471,11471.0,4.39
PROP_0017,Milford,Single Family,3,2.0,1248.0,4791.6,48,1,Fair,2,0,0,1,0,1,1,25,20,1,0,0,0,0,8,37,28,2,0,4972,2578,10,1,0,0,0,0,19803,Garage,Gas,Central AC,Asphalt Shingle,Slab,Carpet,Vinyl Siding,Municipal,Municipal,Winter,399000.0,430006,31006.0,7.21
PROP_0018,Farmington,Single Family,3,3.0,2511.0,8712.0,62,2,Poor,2,0,1,0,0,1,1,25,20,1,0,0,0,0,7,39,28,11,0,11883,3519,60,2,0,0,1,0,54666,Driveway,Electric,Central AC,Asphalt Shingle,Slab,Hardwood,Wood,Municipal,Municipal,Fall,556400.0,540281,-16119.0,-2.98
PROP_0019,Farmington,Single Family,5,3.0,2500.0,42688.799999999996,49,2,Fair,3,0,0,1,1,1,0,25,20,1,0,0,0,0,7,50,41,6,1,6767,2986,30,1,0,0,1,1,28421,Driveway,Gas,Central AC,Metal,Slab,Carpet,Vinyl Siding,Municipal,Municipal,Spring,499900.0,501289,1389.0,0.28
PROP_0020,Norwalk,Condo,1,1.0,548.0,8712.0,58,1,Fair,0,0,1,0,1,1,0,25,20,1,0,1,131,0,8,48,42,1,0,2188,1020,120,0,0,0,1,0,4279,Garage,Gas,Central AC,Asphalt Shingle,Crawl Space,Carpet,Stucco,Municipal,Septic,Winter,174900.0,197723,22823.0,11.54
PROP_0021,Torrington,Single Family,2,2.0,1095.0,8712.0,58,1,Fair,1,0,0,0,0,0,1,25,20,1,0,0,0,0,7,34,29,3,0,2836,760,20,0,0,0,1,0,4327,Street,Gas,Central AC,Flat,Slab,Hardwood,Vinyl Siding,Municipal,Municipal,Winter,132900.0,136992,4092.0,2.99
PROP_0022,Greenwich,Condo,1,1.0,755.0,8712.0,41,1,Poor,0,0,1,0,0,1,0,14,20,1,0,1,320,1,8,33,27,3,0,6823,3091,20,1,0,0,0,0,49798,Garage,Electric,None,Asphalt Shingle,Slab,Laminate,Vinyl Siding,Municipal,Septic,Winter,475000.0,503651,28651.0,5.69
PROP_0023,Montville,Single Family,3,1.0,1084.0,26571.6,64,1,Poor,2,0,1,0,0,1,1,25,20,1,1,0,0,0,9,50,36,10,0,3536,1469,90,3,0,0,1,0,10338,Driveway,Gas,Central AC,Asphalt Shingle,Crawl Space,Carpet,Brick,Municipal,Septic,Fall,229900.0,226679,-3221.0,-1.42
PROP_0024,Enfield,Single Family,3,2.0,1056.0,5227.2,65,1,Distressed,2,0,0,0,0,1,0,24,20,0,0,0,0,0,7,59,48,12,0,3814,1320,90,2,0,0,1,1,21492,Street,Gas,Central AC,Metal,Crawl Space,Hardwood,Brick,Well,Municipal,Fall,209000.0,175987,-33013.0,-18.76
PROP_0025,Stamford,Townhouse,4,2.0,2248.0,14374.800000000001,51,2,Poor,3,0,0,0,0,0,0,25,20,1,1,1,368,0,7,43,36,9,0,13057,4156,20,1,0,0,1,0,38605,Driveway,Gas,None,Asphalt Shingle,Basement,Laminate,Stucco,Municipal,Municipal,Summer,639000.0,694045,55045.0,7.93
PROP_0026,Manchester,Single Family,6,2.0,2568.0,11761.2,48,2,Poor,3,0,1,0,0,1,1,15,20,1,0,0,0,0,8,74,61,12,0,4778,1675,120,2,0,0,1,1,11347,Street,Gas,None,Asphalt Shingle,Basement,Laminate,Brick,Municipal,Municipal,Fall,279000.0,252193,-26807.0,-10.63
PROP_0027,Simsbury,Condo,3,1.0,978.0,30491.999999999996,58,1,Poor,2,0,1,0,0,0,1,22,20,1,0,1,181,0,6,65,54,4,1,4331,1274,30,1,0,0,0,0,18272,Driveway,Gas,Central AC,Asphalt Shingle,Basement,Hardwood,Brick,Municipal,Municipal,Spring,214900.0,206860,-8040.0,-3.89
PROP_0028,Trumbull,Single Family,3,3.0,2051.0,21780.0,51,2,Poor,2,0,1,1,0,0,1,25,20,0,0,0,0,0,6,100,86,3,0,10815,3690,10,0,0,0,0,0,49195,Garage,Oil,Central AC,Metal,Crawl Space,Hardwood,Vinyl Siding,Municipal,Septic,Winter,565000.0,578492,13492.0,2.33
PROP_0029,Fairfield,Single Family,4,3.0,4336.0,45302.4,50,2,Poor,3,1,0,1,1,1,1,25,20,0,1,0,0,0,7,57,53,8,1,35006,8142,30,1,0,0,1,0,112333,Street,Gas,Central AC,Asphalt Shingle,Slab,Laminate,Wood,Municipal,Municipal,Summer,1499000.0,1376987,-122013.0,-8.86
PROP_0030,Woodbury,Single Family,2,2.0,2434.0,10890.0,49,2,Poor,1,0,0,0,1,1,1,25,20,1,0,0,0,0,9,45,39,4,1,10442,2459,90,1,0,0,1,0,27897,Garage,Electric,Central AC,Asphalt Shingle,Slab,Laminate,Brick,Municipal,Municipal,Spring,429900.0,388853,-41047.0,-10.56
PROP_0031,Madison,Single Family,4,3.0,2499.0,111077.99999999999,48,1,Poor,3,0,0,1,1,1,1,25,20,1,1,0,0,0,7,38,36,12,0,11074,3224,30,2,0,0,1,1,47221,Garage,Heat Pump,Central AC,Asphalt Shingle,Slab,Hardwood,Brick,Well,Septic,Fall,540000.0,579869,39869.0,6.88
PROP_0032,Groton,Townhouse,1,1.0,654.0,8712.0,64,1,Poor,0,0,0,0,0,1,1,25,20,1,0,1,449,0,5,56,51,8,1,1848,620,60,0,0,0,1,1,7066,Street,Gas,Central AC,Asphalt Shingle,Crawl Space,Hardwood,Brick,Municipal,Municipal,Summer,105000.0,98574,-6426.0,-6.52
PROP_0033,Middlefield,Condo,1,1.0,530.0,8276.4,62,1,Poor,0,0,0,0,1,0,1,21,20,0,1,1,445,1,8,58,42,11,0,1624,713,90,0,0,0,1,0,6664,Street,Heat Pump,Central AC,Asphalt Shingle,Crawl Space,Carpet,Wood,Municipal,Municipal,Fall,129900.0,121331,-8569.0,-7.06
PROP_0034,Cheshire,Single Family,4,3.0,3143.0,86248.8,58,2,Fair,3,0,1,1,1,1,1,25,20,1,0,0,0,0,6,100,77,2,0,11044,3873,30,0,0,0,1,0,30790,Garage,Oil,Central AC,Asphalt Shingle,Crawl Space,Hardwood,Wood,Municipal,Municipal,Winter,629900.0,632267,2367.0,0.37
PROP_0035,Torrington,Single Family,2,2.0,1100.0,3920.3999999999996,58,1,Fair,1,0,0,1,0,1,0,25,20,1,0,0,0,0,6,66,54,12,0,1982,854,20,1,0,0,1,1,8272,Garage,Gas,Central AC,Asphalt Shingle,Slab,Laminate,Stucco,Municipal,Municipal,Fall,139000.0,156718,17718.0,11.31
PROP_0036,Greenwich,Single Family,3,3.0,2308.0,7405.200000000001,38,2,Fair,2,0,1,1,0,1,1,21,20,1,0,0,0,0,7,58,54,9,0,36146,8400,10,0,0,0,0,1,69203,Driveway,Oil,Central AC,Asphalt Shingle,Crawl Space,Hardwood,Brick,Municipal,Municipal,Summer,1500000.0,1696161,196161.0,11.56
PROP_0037,New Milford,Single Family,3,4.0,6057.0,50965.2,55,2,Poor,2,1,1,1,0,1,0,22,20,0,1,0,0,0,9,55,41,8,1,11108,4787,90,1,0,0,1,0,39394,Street,Gas,Central AC,Asphalt Shingle,Crawl Space,Laminate,Vinyl Siding,Well,Municipal,Summer,850000.0,921599,71599.0,7.77
PROP_0038,Darien,Single Family,5,3.0,2427.0,8276.4,47,2,Poor,3,0,0,1,0,1,1,21,20,1,0,0,0,0,8,88,66,6,1,18885,5770,20,0,0,0,0,0,83343,Street,Electric,Window Units,Asphalt Shingle,Basement,Tile,Stucco,Municipal,Septic,Spring,949900.0,918337,-31563.0,-3.44
PROP_0039,Stratford,Single Family,3,1.0,1044.0,11325.6,59,1,Poor,2,0,0,0,1,0,0,25,20,1,1,0,0,0,8,24,21,7,1,5048,1491,30,1,0,0,0,2,19881,Driveway,Oil,Central AC,Asphalt Shingle,Slab,Carpet,Brick,Municipal,Municipal,Summer,255000.0,266769,11769.0,4.41
PROP_0040,Hamden,Single Family,4,4.0,2024.0,13068.0,64,2,Distressed,3,0,1,0,1,0,1,25,20,1,1,0,0,0,7,100,83,1,0,6665,1954,20,0,0,0,0,1,71939,Garage,Oil,Central AC,Asphalt Shingle,Slab,Hardwood,Vinyl Siding,Municipal,Municipal,Winter,324900.0,288142,-36758.0,-12.76
PROP_0041,Bridgeport,Townhouse,4,2.0,1500.0,8276.4,51,2,Fair,3,0,1,0,1,1,1,25,20,1,0,1,152,1,7,100,91,5,1,6712,1507,120,0,0,0,0,1,8544,Driveway,Gas,Window Units,Tile,Slab,Tile,Vinyl Siding,Municipal,Municipal,Spring,275000.0,291130,16130.0,5.54
PROP_0042,Southbury,Single Family,2,2.0,1044.0,8712.0,53,1,Poor,1,0,0,1,0,0,1,25,20,0,0,0,0,0,9,82,66,3,0,2478,1097,20,0,0,0,1,0,12957,Carport,Electric,Central AC,Asphalt Shingle,Slab,Tile,Brick,Well,Municipal,Winter,174900.0,161604,-13296.0,-8.23
PROP_0043,Manchester,Townhouse,3,1.0,1350.0,7405.200000000001,59,1,Poor,2,0,0,0,0,1,0,25,20,0,0,1,128,0,7,66,62,5,1,2377,1035,10,0,0,0,0,0,17462,Driveway,Gas,Window Units,Asphalt Shingle,Basement,Carpet,Brick,Municipal,Municipal,Spring,169000.0,170725,1725.0,1.01
PROP_0044,Middlebury,Single Family,7,3.0,3173.0,24829.199999999997,49,2,Fair,3,1,0,1,1,1,1,25,20,0,0,0,0,0,7,48,45,2,0,7361,2441,10,0,0,0,0,1,9323,Garage,Electric,Window Units,Asphalt Shingle,Slab,Hardwood,Stucco,Municipal,Municipal,Winter,397500.0,402509,5009.0,1.24
PROP_0045,Greenwich,Single Family,5,5.0,3500.0,40510.8,38,2,Fair,3,0,0,1,1,1,1,24,19,0,0,0,0,0,9,94,68,3,0,41879,13286,120,0,0,0,1,0,135064,Garage,Oil,None,Asphalt Shingle,Crawl Space,Carpet,Vinyl Siding,Municipal,Municipal,Winter,2395000.0,2718244,323244.0,11.89
PROP_0046,New Britain,Townhouse,2,2.0,840.0,8712.0,59,1,Poor,1,0,0,0,0,1,1,23,20,0,1,0,0,0,5,38,27,6,1,2318,517,20,0,0,0,1,0,4989,Driveway,Gas,Window Units,Asphalt Shingle,Basement,Carpet,Vinyl Siding,Municipal,Municipal,Spring,92900.0,100662,7762.0,7.71
PROP_0047,Granby,Single Family,4,3.0,2203.0,49658.399999999994,48,2,Fair,3,0,0,1,1,1,0,17,20,0,0,0,0,0,7,81,77,10,0,6095,2320,10,0,0,0,1,0,16626,Driveway,Electric,Central AC,Metal,Slab,Carpet,Brick,Municipal,Municipal,Fall,375000.0,358144,-16856.0,-4.71
PROP_0048,Monroe,Single Family,4,3.0,1958.0,25264.8,53,2,Fair,3,0,0,0,1,1,0,25,20,1,0,0,0,0,8,60,59,5,1,8419,2392,120,0,0,0,1,0,10811,Carport,Gas,Central AC,Asphalt Shingle,Crawl Space,Laminate,Vinyl Siding,Municipal,Municipal,Spring,429900.0,421173,-8727.0,-2.07
PROP_0049,Newtown,Single Family,5,6.0,5016.0,117612.00000000001,55,2,Poor,3,1,0,0,0,1,0,25,20,1,0,0,0,0,5,64,48,12,0,18190,7405,120,1,0,0,1,0,95094,Carport,Electric,Central AC,Tile,Slab,Tile,Brick,Municipal,Municipal,Fall,1200000.0,1168535,-31465.0,-2.69
PROP_0050,Danbury,Single Family,4,3.0,1550.0,48351.600000000006,57,2,Poor,3,0,1,0,0,1,1,25,20,0,0,0,0,0,8,29,26,1,0,9451,3244,20,0,0,0,1,2,61793,Carport,Oil,Window Units,Tile,Crawl Space,Carpet,Stucco,Municipal,Municipal,Winter,599900.0,601897,1997.0,0.33
PROP_0051,East Granby,Single Family,3,2.0,1228.0,16988.4,55,1,Fair,2,0,1,1,1,1,0,25,20,1,1,0,0,0,9,71,70,6,1,3316,1704,30,0,0,0,1,1,9934,Garage,Oil,Central AC,Asphalt Shingle,Crawl Space,Carpet,Stucco,Municipal,Septic,Spring,274900.0,280169,5269.0,1.88
PROP_0052,Meriden,Single Family,3,2.0,1572.0,8712.0,63,2,Poor,2,0,0,1,1,1,1,25,20,1,0,0,0,0,8,28,25,3,0,2178,755,10,0,0,0,0,0,8803,Street,Gas,Central AC,Asphalt Shingle,Basement,Hardwood,Brick,Municipal,Municipal,Winter,125000.0,115591,-9409.0,-8.14
PROP_0053,East Hartford,Townhouse,2,2.0,1287.0,8712.0,48,1,Fair,1,0,0,0,0,1,1,25,20,1,1,0,0,0,8,40,33,3,0,4528,1408,10,2,0,0,0,0,9174,Carport,Gas,Central AC,Flat,Basement,Hardwood,Vinyl Siding,Well,Municipal,Winter,239000.0,227320,-11680.0,-5.14
PROP_0054,East Haven,Single Family,3,1.0,1192.0,23958.000000000004,57,1,Fair,2,0,0,1,1,1,1,25,20,0,1,0,0,0,9,13,12,10,0,3978,1798,30,1,0,0,0,0,10860,Driveway,Electric,Central AC,Metal,Crawl Space,Carpet,Brick,Municipal,Municipal,Fall,299900.0,305966,6066.0,1.98
PROP_0055,New London,Single Family,5,5.0,3923.0,12632.4,64,2,Distressed,3,0,1,0,0,1,1,25,20,0,1,0,0,0,5,100,80,4,1,17875,5119,10,1,0,0,1,0,183323,Street,Gas,Central AC,Asphalt Shingle,Basement,Carpet,Brick,Municipal,Municipal,Spring,925000.0,858054,-66946.0,-7.8
PROP_0056,New Britain,Single Family,3,2.0,2240.0,8712.0,51,2,Poor,2,0,0,1,1,1,1,25,20,0,0,0,0,0,7,46,45,11,0,5600,1650,60,3,0,0,1,1,29856,Garage,Gas,Central AC,Metal,Slab,Tile,Brick,Municipal,Septic,Fall,299900.0,309994,10094.0,3.26
PROP_0057,New London,Single Family,3,2.0,1404.0,6098.400000000001,45,1,Fair,2,0,0,1,1,1,1,24,20,0,0,0,0,0,6,82,81,6,1,6243,1885,20,0,0,0,0,2,11794,Driveway,Heat Pump,Central AC,Asphalt Shingle,Crawl Space,Hardwood,Vinyl Siding,Municipal,Municipal,Spring,300000.0,303210,3210.0,1.06
PROP_0058,Greenwich,Single Family,3,4.0,2631.0,191228.4,48,1,Poor,2,1,0,0,0,1,1,25,20,1,0,0,0,0,7,51,43,9,0,28229,13690,10,1,0,0,1,0,119635,Driveway,Oil,Central AC,Metal,Slab,Hardwood,Vinyl Siding,Municipal,Septic,Summer,2100000.0,1929889,-170111.0,-8.81
PROP_0059,Waterford,Single Family,3,3.0,1647.0,10018.800000000001,50,2,Poor,2,0,1,0,0,1,0,17,20,0,1,0,0,0,7,33,29,8,1,6697,3359,10,0,0,0,1,0,27261,Driveway,Gas,Window Units,Metal,Basement,Hardwood,Brick,Municipal,Septic,Summer,529900.0,485001,-44899.0,-9.26
PROP_0060,Kent,Single Family,3,2.0,1800.0,72309.59999999999,52,2,Fair,2,0,0,1,0,0,1,18,20,1,0,0,0,0,6,43,38,6,1,11296,2649,20,1,0,0,0,0,16223,Garage,Heat Pump,Central AC,Asphalt Shingle,Slab,Hardwood,Wood,Municipal,Septic,Spring,460000.0,504374,44374.0,8.8
PROP_0061,Stratford,Townhouse,1,2.0,1550.0,8712.0,61,1,Poor,0,0,0,0,1,1,1,25,20,1,1,0,0,0,7,23,19,7,1,5729,1624,90,0,0,0,1,0,22505,Garage,Gas,Central AC,Tile,Basement,Hardwood,Brick,Municipal,Municipal,Summer,269900.0,280962,11062.0,3.94
PROP_0062,Stafford,Single Family,1,3.0,4740.0,43560.0,57,3,Poor,0,0,0,1,0,1,0,25,20,1,0,0,0,0,9,55,45,4,1,6424,2310,30,3,0,0,1,0,40501,Driveway,Gas,Window Units,Asphalt Shingle,Slab,Carpet,Stucco,Municipal,Municipal,Spring,425000.0,464079,39079.0,8.42
PROP_0063,Willington,Single Family,3,2.0,1002.0,97574.40000000001,56,1,Poor,2,0,0,0,1,1,1,25,20,1,0,0,0,0,7,98,89,3,0,3373,1377,30,3,0,0,1,0,12225,Driveway,Oil,Window Units,Metal,Slab,Hardwood,Vinyl Siding,Municipal,Municipal,Winter,229000.0,210976,-18024.0,-8.54
PROP_0064,Bridgeport,Townhouse,1,1.0,733.0,8712.0,53,1,Poor,0,0,1,0,1,0,0,18,20,0,0,1,286,1,5,63,59,1,0,1338,381,30,1,0,0,1,0,2974,Garage,Electric,Central AC,Asphalt Shingle,Slab,Tile,Vinyl Siding,Well,Municipal,Winter,65000.0,61275,-3725.0,-6.08
PROP_0065,Brooklyn,Single Family,4,1.0,1180.0,12632.4,60,1,Poor,3,0,0,0,1,0,1,25,20,0,0,0,0,0,7,64,55,10,0,4063,1460,20,0,0,0,0,0,22478,Street,Electric,Central AC,Asphalt Shingle,Slab,Laminate,Vinyl Siding,Municipal,Municipal,Fall,239900.0,261346,21446.0,8.21
PROP_0066,Hamden,Single Family,3,2.0,1624.0,35719.2,56,2,Poor,2,0,0,1,1,0,1,18,20,0,0,0,0,0,6,100,81,11,0,6288,1892,90,3,0,0,1,1,15590,Street,Gas,Central AC,Flat,Slab,Laminate,Stucco,Municipal,Municipal,Fall,350000.0,341473,-8527.0,-2.5
PROP_0067,Westport,Single Family,4,3.0,3130.0,43560.0,41,2,Fair,3,1,0,1,1,1,1,18,20,1,0,0,0,0,7,37,33,2,0,36473,11689,120,1,1,0,0,1,54922,Street,Oil,Central AC,Asphalt Shingle,Crawl Space,Carpet,Vinyl Siding,Municipal,Municipal,Winter,1995000.0,2243876,248876.0,11.09
PROP_0068,Montville,Townhouse,3,2.0,1200.0,14810.400000000001,60,1,Poor,2,0,0,0,1,1,1,24,20,0,0,0,0,0,7,58,53,5,1,4209,1700,30,0,0,0,1,1,23332,Street,Gas,Central AC,Metal,Slab,Hardwood,Vinyl Siding,Municipal,Municipal,Spring,269900.0,283391,13491.0,4.76
PROP_0069,Cromwell,Condo,2,1.0,938.0,8712.0,49,1,Fair,1,0,0,0,1,1,1,25,20,1,0,1,263,0,9,71,51,7,1,2604,746,60,0,0,0,0,0,6688,Driveway,Electric,Central AC,Asphalt Shingle,Crawl Space,Carpet,Stucco,Municipal,Municipal,Summer,135000.0,141971,6971.0,4.91
PROP_0070,Enfield,Single Family,3,2.0,1308.0,27442.8,62,1,Poor,2,0,1,1,1,0,1,25,20,0,1,0,0,0,8,50,44,1,0,5716,1517,20,0,0,0,1,0,16058,Driveway,Gas,Window Units,Asphalt Shingle,Slab,Tile,Vinyl Siding,Municipal,Municipal,Winter,269900.0,276252,6352.0,2.3
PROP_0071,Meriden,Condo,2,1.0,840.0,16117.199999999999,57,1,Fair,1,0,0,0,0,0,1,25,20,0,1,1,122,0,5,67,60,11,0,2763,1042,30,0,0,0,0,1,8955,Carport,Gas,Central AC,Asphalt Shingle,Slab,Carpet,Brick,Municipal,Municipal,Fall,189900.0,184820,-5080.0,-2.75
PROP_0072,Berlin,Townhouse,4,2.0,1239.0,23086.800000000003,59,1,Poor,3,0,0,0,1,1,0,25,20,0,0,1,117,0,7,47,36,3,0,4377,1563,120,2,0,0,1,0,24363,Driveway,Gas,Central AC,Asphalt Shingle,Crawl Space,Carpet,Brick,Municipal,Septic,Winter,289000.0,263714,-25286.0,-9.59
PROP_0073,East Hartford,Single Family,4,2.0,1352.0,34848.0,52,1,Poor,3,0,0,1,1,1,0,25,20,0,0,0,0,0,9,72,62,9,0,3487,1628,20,1,0,0,1,1,20212,Garage,Gas,None,Asphalt Shingle,Crawl Space,Hardwood,Vinyl Siding,Well,Septic,Summer,260000.0,276386,16386.0,5.93
PROP_0074,New Haven,Single Family,3,1.0,1480.0,8712.0,46,1,Poor,2,0,0,0,0,1,1,23,20,0,1,0,0,0,9,81,58,5,1,5781,1970,20,0,0,0,0,0,17311,Driveway,Gas,Central AC,Flat,Slab,Carpet,Brick,Municipal,Municipal,Spring,310000.0,290352,-19648.0,-6.77
PROP_0075,Madison,Single Family,4,3.0,3426.0,43995.6,47,2,Fair,3,0,0,1,1,1,0,22,20,0,0,0,0,0,7,54,40,6,1,11937,5475,60,0,0,0,0,0,37018,Street,Electric,Central AC,Metal,Basement,Laminate,Brick,Municipal,Municipal,Spring,839000.0,917863,78863.0,8.59
PROP_0076,Wolcott,Single Family,3,3.0,2830.0,82764.0,58,1,Poor,2,0,1,0,1,1,1,19,20,0,0,0,0,0,7,80,59,6,1,11753,2925,90,0,0,0,0,0,50237,Driveway,Electric,Central AC,Asphalt Shingle,Slab,Hardwood,Brick,Municipal,Septic,Spring,479000.0,471346,-7654.0,-1.62
PROP_0077,North Haven,Condo,2,1.0,672.0,20037.600000000002,48,1,Fair,1,0,0,0,1,1,1,25,20,1,0,1,446,0,7,80,57,6,1,5405,1496,120,1,0,0,0,0,6813,Garage,Electric,Central AC,Asphalt Shingle,Basement,Hardwood,Stucco,Municipal,Municipal,Spring,229000.0,255794,26794.0,10.47
