property_id,neighborhood,property_type,bedrooms,bathrooms,square_feet,lot_size,age,stories,condition,garage_spaces,has_pool,has_fireplace,has_deck,has_fence,has_central_heat,has_central_air,years_since_roof_replaced,years_since_hvac_replaced,kitchen_updated,bathrooms_updated,has_hoa,hoa_fee,has_special_assessment,school_rating,walk_score,transit_score,listing_month,is_spring_summer,annual_tax,estimated_rent,days_on_market,price_reductions,is_foreclosure,has_lien,owner_occupied,num_distress_keywords,estimated_repair_cost,parking_type,heating_type,cooling_type,roof_type,foundation_type,flooring_type,exterior_type,water_source,sewer_type,listing_season,listed_price,true_market_value,spread,spread_percentage,predicted_market_value,predicted_spread,predicted_spread_pct,prediction_error,prediction_error_pct,distress_score,estimated_profit,opportunity_score
PROP_0017,Milford,Single Family,3,2.0,1248.0,4791.6,61,1,Poor,2,0,1,1,0,1,0,25,20,0,0,0,0,0,7,34,29,10,0,4962,2450,20,0,0,0,1,0,37207,Driveway,Oil,Window Units,Asphalt Shingle,Slab,Laminate,Brick,Well,Septic,Fall,399000.0,367879,-31121.0,-8.46,367890,-31110.0,-8.46,11,0.0,2.0,-83317.0,-24.85
PROP_0018,Farmington,Single Family,3,3.0,2511.0,8712.0,46,2,Poor,2,0,1,0,1,1,0,25,20,0,1,0,0,0,6,66,53,8,1,11147,3414,30,0,0,0,1,0,58687,Carport,Electric,Central AC,Asphalt Shingle,Crawl Space,Carpet,Brick,Municipal,Municipal,Summer,556400.0,555861,-539.0,-0.1,555655,-745.0,-0.13,-206,-0.04,3.0,-74432.0,-7.1
PROP_0019,Farmington,Single Family,5,3.0,2500.0,42688.8,51,2,Fair,3,0,0,1,1,1,1,24,20,1,0,0,0,0,6,29,24,10,0,9367,2795,10,0,0,0,0,0,27063,Garage,Gas,Central AC,Tile,Slab,Carpet,Vinyl Siding,Municipal,Municipal,Fall,499900.0,500374,474.0,0.09,500225,325.0,0.06,-149,-0.03,1.0,-41738.0,-3.85
PROP_0020,Norwalk,Townhouse,1,1.0,548.0,8712.0,50,1,Fair,0,0,1,0,1,1,1,20,20,1,0,1,320,1,6,48,44,10,0,3657,1050,10,0,0,0,1,1,5298,Carport,Gas,Central AC,Asphalt Shingle,Basement,Laminate,Stucco,Municipal,Municipal,Fall,174900.0,187004,12104.0,6.47,186996,12096.0,6.47,-8,-0.0,6.0,-8202.0,13.32
PROP_0021,Torrington,Townhouse,2,2.0,1095.0,8712.0,57,1,Fair,1,0,1,0,1,1,1,25,20,0,1,0,0,0,7,41,38,10,0,2126,781,20,0,1,0,0,0,5921,Driveway,Gas,Window Units,Asphalt Shingle,Basement,Tile,Brick,Municipal,Municipal,Fall,132900.0,168425,35525.0,21.09,168430,35530.0,21.09,5,0.0,22.0,14609.0,48.04
PROP_0022,Greenwich,Condo,1,1.0,755.0,8712.0,50,1,Poor,0,0,0,0,0,0,0,25,20,0,0,1,395,0,6,46,42,5,1,6304,2825,60,0,0,0,0,0,39880,Carport,Electric,Central AC,Asphalt Shingle,Crawl Space,Tile,Stucco,Municipal,Municipal,Spring,475000.0,480320,5320.0,1.11,480322,5322.0,1.11,2,0.0,6.0,-49558.0,-1.54
PROP_0023,Montville,Single Family,3,1.0,1084.0,26571.6,45,1,Fair,2,0,0,1,1,1,0,16,20,0,1,0,0,0,7,90,88,2,0,3341,1374,60,1,0,0,1,0,7618,Garage,Electric,Central AC,Asphalt Shingle,Basement,Laminate,Vinyl Siding,Municipal,Septic,Winter,229900.0,251012,21112.0,8.41,246880,16980.0,6.88,-4132,-1.65,16.0,-5638.0,16.4
PROP_0024,Enfield,Single Family,3,2.0,1056.0,5227.2,54,1,Fair,2,0,1,0,1,1,1,25,20,1,0,0,0,0,9,48,45,8,1,4564,1358,30,2,0,0,1,0,8107,Carport,Gas,Central AC,Metal,Slab,Carpet,Vinyl Siding,Municipal,Septic,Summer,209000.0,223357,14357.0,6.43,223434,14434.0,6.46,77,0.03,23.0,-8673.0,16.65
PROP_0025,Stamford,Single Family,4,2.0,2248.0,14374.8,48,2,Fair,3,0,0,1,0,1,0,25,20,0,0,0,0,0,7,43,30,1,0,10290,3875,20,0,0,1,1,0,32151,Garage,Oil,Central AC,Tile,Slab,Carpet,Vinyl Siding,Well,Septic,Winter,639000.0,706546,67546.0,9.56,694457,55457.0,7.99,-12089,-1.71,17.0,8306.0,20.21
PROP_0026,Manchester,Single Family,6,2.0,2568.0,11761.2,58,1,Fair,3,0,1,0,1,1,0,25,20,1,0,0,0,0,7,68,65,5,1,3483,1646,20,1,0,0,0,0,14579,Driveway,Electric,Central AC,Metal,Crawl Space,Hardwood,Vinyl Siding,Well,Municipal,Spring,279000.0,269401,-9599.0,-3.56,269520,-9480.0,-3.52,119,0.04,12.0,-39059.0,-8.55
PROP_0027,Simsbury,Condo,3,1.0,978.0,30491.999999999996,56,1,Poor,2,0,1,0,0,1,0,25,20,0,0,1,264,0,8,100,80,1,0,3247,1168,120,0,0,0,0,0,9754,Garage,Gas,Central AC,Asphalt Shingle,Crawl Space,Carpet,Vinyl Siding,Municipal,Municipal,Winter,214900.0,219054,4154.0,1.9,218943,4043.0,1.85,-111,-0.05,12.0,-20711.0,4.03
PROP_0028,Trumbull,Single Family,3,3.0,2051.0,21780.0,53,2,Fair,2,0,1,0,1,0,1,25,20,1,0,0,0,0,5,27,19,11,0,13288,3248,60,1,0,1,1,0,14875,Garage,Oil,,Asphalt Shingle,Crawl Space,Tile,Vinyl Siding,Municipal,Municipal,Fall,565000.0,738963,173963.0,23.54,738972,173972.0,23.54,9,0.0,31.0,144097.0,67.69
PROP_0029,Fairfield,Single Family,4,3.0,4336.0,45302.4,45,2,Fair,3,1,0,0,0,1,1,23,20,1,1,0,0,0,8,46,43,11,0,32661,9099,20,0,0,0,0,0,66073,Driveway,Gas,Central AC,Asphalt Shingle,Crawl Space,Tile,Vinyl Siding,Municipal,Municipal,Fall,1499000.0,1687678,188678.0,11.18,1687692,188692.0,11.18,14,0.0,2.0,107619.0,33.52
PROP_0030,Woodbury,Townhouse,2,2.0,2434.0,10890.0,57,2,Poor,1,0,0,0,1,1,0,25,20,0,0,0,0,0,6,41,35,2,0,7561,2714,60,1,0,0,0,0,41421,Driveway,Gas,Central AC,Flat,Crawl Space,Hardwood,Stucco,Municipal,Municipal,Winter,429900.0,457095,27195.0,5.95,489979,60079.0,12.26,32884,7.19,16.0,3658.0,28.09
PROP_0031,Madison,Single Family,4,3.0,2499.0,111078.0,53,2,Fair,3,0,0,0,0,1,1,25,20,1,0,0,0,0,7,45,41,4,1,13004,3069,90,3,0,0,1,0,26350,Garage,Heat Pump,Central AC,Asphalt Shingle,Slab,Carpet,Vinyl Siding,Municipal,Septic,Spring,540000.0,534296,-5704.0,-1.07,534142,-5858.0,-1.1,-154,-0.03,39.0,-47208.0,0.88
PROP_0032,Groton,Condo,1,1.0,654.0,8712.0,47,1,Fair,0,0,1,0,1,1,1,25,20,0,1,1,325,1,8,43,39,1,0,1292,599,90,1,0,0,0,0,5917,Driveway,Electric,Central AC,Asphalt Shingle,Basement,Hardwood,Vinyl Siding,Municipal,Municipal,Winter,105000.0,100062,-4938.0,-4.93,100081,-4919.0,-4.92,19,0.02,19.0,-25836.0,-8.62
PROP_0033,Middlefield,Townhouse,1,1.0,530.0,8276.4,55,1,Fair,0,0,0,0,0,0,1,25,20,0,1,0,0,0,6,69,55,5,1,1974,712,10,1,0,1,1,0,7788,Garage,Gas,Window Units,Asphalt Shingle,Crawl Space,Laminate,Vinyl Siding,Municipal,Municipal,Spring,129900.0,164256,34356.0,20.92,164287,34387.0,20.93,31,0.02,26.0,11599.0,48.22
PROP_0034,Cheshire,Single Family,4,3.0,3143.0,86248.8,60,2,Distressed,3,0,0,0,0,1,0,22,20,1,0,0,0,0,8,65,54,12,0,10177,3427,30,0,0,0,0,0,87448,Street,Electric,Central AC,Asphalt Shingle,Basement,Laminate,Brick,Municipal,Municipal,Fall,629900.0,523175,-106725.0,-20.4,523202,-106698.0,-20.39,27,0.01,3.0,-209146.0,-61.09
PROP_0035,Torrington,Single Family,2,2.0,1100.0,3920.4,53,1,Poor,1,0,0,0,1,1,1,17,20,0,1,0,0,0,8,82,65,12,0,1902,896,10,1,0,0,0,0,9360,Driveway,Oil,Central AC,Asphalt Shingle,Slab,Tile,Brick,Municipal,Municipal,Fall,139000.0,126566,-12434.0,-9.82,126648,-12352.0,-9.75,82,0.06,11.0,-36712.0,-20.97
PROP_0036,Greenwich,Townhouse,3,3.0,2308.0,7405.200000000001,47,2,Fair,2,0,1,0,0,1,0,20,20,1,0,1,377,0,6,63,52,5,1,18920,8665,10,0,0,0,1,0,72770,Driveway,Gas,Window Units,Flat,Crawl Space,Carpet,Vinyl Siding,Municipal,Septic,Spring,1500000.0,1460627,-39373.0,-2.7,1460599,-39401.0,-2.7,-28,-0.0,1.0,-127171.0,-17.92
PROP_0037,New Milford,Single Family,3,4.0,6057.0,50965.2,58,3,Fair,2,0,1,1,0,0,0,25,20,0,0,0,0,0,7,46,40,5,1,10611,4744,180,2,0,0,1,0,32254,Garage,Gas,Central AC,Tile,Basement,Laminate,Vinyl Siding,Municipal,Municipal,Spring,850000.0,1030405,180405.0,17.51,1030447,180447.0,17.51,42,0.0,38.0,133193.0,55.94
PROP_0038,Darien,Single Family,5,3.0,2427.0,8276.4,49,1,Poor,3,0,0,0,0,1,1,17,20,1,1,0,0,0,9,6,4,6,1,16603,6241,60,0,0,0,0,0,53618,Driveway,Electric,Central AC,Asphalt Shingle,Basement,Hardwood,Vinyl Siding,Municipal,Municipal,Spring,949900.0,902889,-47011.0,-5.21,902952,-46948.0,-5.2,63,0.01,6.0,-115566.0,-20.76
PROP_0039,Stratford,Townhouse,3,1.0,1044.0,11325.6,46,1,Fair,2,0,0,0,0,1,1,25,20,0,0,0,0,0,6,70,49,3,0,3122,1519,30,1,0,0,1,0,6461,Driveway,Oil,Window Units,Asphalt Shingle,Crawl Space,Hardwood,Vinyl Siding,Municipal,Municipal,Winter,255000.0,264046,9046.0,3.43,257754,2754.0,1.07,-6292,-2.38,13.0,-18707.0,2.87
PROP_0040,Hamden,Single Family,4,4.0,2024.0,13068.0,57,2,Fair,3,0,0,1,0,1,0,25,20,0,0,0,0,0,7,87,82,12,0,4833,2131,60,2,0,0,1,0,18228,Garage,Gas,Window Units,Asphalt Shingle,Basement,Hardwood,Brick,Municipal,Municipal,Fall,324900.0,356349,31449.0,8.83,356356,31456.0,8.83,7,0.0,26.0,-1772.0,22.68
PROP_0041,Bridgeport,Townhouse,4,2.0,1500.0,8276.4,58,2,Fair,3,0,0,0,0,0,1,25,20,0,0,1,414,0,5,59,43,5,1,4286,1574,30,0,0,0,1,0,8007,Driveway,Oil,Window Units,Asphalt Shingle,Crawl Space,Laminate,Wood,Municipal,Municipal,Spring,275000.0,313825,38825.0,12.37,313734,38734.0,12.35,-91,-0.03,3.0,15727.0,26.87
PROP_0042,Southbury,Townhouse,2,2.0,1044.0,8712.0,62,1,Poor,1,0,0,0,0,1,1,25,20,1,0,1,396,0,8,72,54,11,0,2635,1034,120,0,1,0,0,0,18931,Driveway,Gas,Central AC,Asphalt Shingle,Crawl Space,Tile,Stucco,Municipal,Municipal,Fall,174900.0,203544,28644.0,14.07,203575,28675.0,14.09,31,0.02,32.0,-5256.0,34.05
PROP_0043,Manchester,Single Family,3,1.0,1350.0,7405.200000000001,61,1,Distressed,2,0,0,0,0,0,1,25,20,0,0,0,0,0,7,72,57,6,1,3759,1094,180,0,0,0,1,1,19489,Garage,Oil,Central AC,Asphalt Shingle,Slab,Laminate,Wood,Well,Municipal,Spring,169000.0,198993,29993.0,15.07,198886,29886.0,15.03,-107,-0.05,23.0,-4603.0,34.2
PROP_0044,Middlebury,Single Family,7,3.0,3173.0,24829.199999999997,61,2,Distressed,3,0,1,0,1,1,1,25,20,0,0,0,0,0,9,68,63,4,1,8595,2427,10,0,0,0,0,0,70826,Garage,Gas,Central AC,Metal,Basement,Hardwood,Stucco,Municipal,Municipal,Spring,397500.0,360015,-37485.0,-10.41,368899,-28601.0,-7.75,8884,2.47,1.0,-114427.0,-26.74
PROP_0045,Greenwich,Single Family,5,5.0,3500.0,40510.8,50,2,Fair,3,0,0,1,1,1,0,25,20,0,0,0,0,0,8,84,71,3,0,29147,14309,180,2,0,0,1,1,116754,Driveway,Gas,Central AC,Tile,Slab,Tile,Brick,Municipal,Municipal,Winter,2395000.0,2956884,561884.0,19.0,2956826,561826.0,19.0,-58,-0.0,43.0,430072.0,89.61
PROP_0046,New Britain,Condo,2,2.0,840.0,8712.0,64,1,Distressed,1,0,0,0,0,1,0,25,20,1,1,1,354,0,8,54,53,5,1,1740,573,20,3,0,0,1,2,20537,Garage,Electric,Central AC,Asphalt Shingle,Basement,Hardwood,Wood,Municipal,Septic,Spring,92900.0,75741,-17159.0,-22.65,75701,-17199.0,-22.72,-40,-0.05,42.0,-52736.0,-42.31
PROP_0047,Granby,Single Family,4,3.0,2203.0,49658.399999999994,56,2,Fair,3,0,0,0,1,1,0,25,20,0,1,0,0,0,7,60,48,4,1,9074,2079,90,0,0,0,0,1,12988,Garage,Gas,Central AC,Asphalt Shingle,Slab,Hardwood,Wood,Municipal,Municipal,Spring,375000.0,417076,42076.0,10.09,416412,41412.0,9.94,-664,-0.16,14.0,13424.0,24.02
PROP_0048,Monroe,Townhouse,4,3.0,1958.0,25264.8,59,2,Poor,3,0,0,0,1,1,1,25,20,1,1,1,318,0,5,62,57,12,0,6332,2637,10,2,0,0,1,0,26309,Street,Gas,Central AC,Metal,Slab,Hardwood,Vinyl Siding,Municipal,Municipal,Fall,429900.0,413084,-16816.0,-4.07,413027,-16873.0,-4.09,-57,-0.01,21.0,-58182.0,-9.8
PROP_0049,Newtown,Single Family,5,6.0,5016.0,117612.0,57,2,Poor,3,0,0,1,0,1,0,23,20,0,0,0,0,0,7,55,53,9,0,23952,7907,30,1,0,1,1,2,139096,Street,Gas,,Metal,Basement,Hardwood,Vinyl Siding,Municipal,Municipal,Summer,1200000.0,1363270,163270.0,11.98,1363323,163323.0,11.98,53,0.0,38.0,9227.0,32.48
PROP_0050,Danbury,Townhouse,4,3.0,1550.0,48351.600000000006,61,1,Distressed,3,0,1,0,1,1,0,19,20,1,0,1,147,0,7,68,48,8,1,8117,3556,10,0,0,0,1,0,65481,Carport,Gas,Central AC,Asphalt Shingle,Basement,Hardwood,Brick,Municipal,Municipal,Summer,599900.0,573401,-26499.0,-4.62,573421,-26479.0,-4.62,20,0.0,1.0,-106960.0,-19.74
PROP_0051,East Granby,Townhouse,3,2.0,1228.0,16988.4,52,1,Fair,2,0,0,0,1,1,1,16,20,1,0,0,0,0,7,62,49,2,0,6052,1552,30,1,0,0,1,0,7912,Driveway,Heat Pump,Central AC,Asphalt Shingle,Crawl Space,Laminate,Stucco,Municipal,Municipal,Winter,274900.0,309637,34737.0,11.22,309422,34522.0,11.16,-215,-0.07,13.0,11610.0,26.08
PROP_0052,Meriden,Single Family,3,2.0,1572.0,8712.0,67,2,Poor,2,0,1,0,0,1,1,23,20,0,0,0,0,0,7,91,75,8,1,2754,812,30,2,0,0,0,0,11649,Street,Oil,Central AC,Asphalt Shingle,Slab,Hardwood,Brick,Municipal,Municipal,Summer,125000.0,117016,-7984.0,-6.82,117122,-7878.0,-6.73,106,0.09,23.0,-34527.0,-12.31
PROP_0053,East Hartford,Single Family,2,2.0,1287.0,8712.0,64,1,Distressed,1,0,1,1,1,1,1,23,20,0,1,0,0,0,7,61,50,12,0,5901,1541,120,0,0,0,1,0,25056,Driveway,Electric,Central AC,Asphalt Shingle,Crawl Space,Carpet,Vinyl Siding,Municipal,Municipal,Fall,239000.0,216263,-22737.0,-10.51,216388,-22612.0,-10.45,125,0.06,12.0,-62668.0,-24.77
PROP_0054,East Haven,Single Family,3,1.0,1192.0,23958.000000000004,52,1,Poor,2,0,1,0,1,1,0,25,20,0,0,0,0,0,6,62,45,7,1,4211,1698,30,0,0,0,1,0,18221,Street,Gas,Central AC,Metal,Slab,Carpet,Brick,Well,Municipal,Summer,299900.0,283817,-16083.0,-5.67,283533,-16367.0,-5.77,-284,-0.1,3.0,-49588.0,-15.9
PROP_0055,New London,Single Family,5,5.0,3923.0,12632.4,55,3,Poor,3,0,1,0,1,1,0,23,20,0,0,0,0,0,5,80,60,4,1,14071,5651,180,0,0,0,1,0,104838,Driveway,Heat Pump,Central AC,Asphalt Shingle,Crawl Space,Hardwood,Vinyl Siding,Well,Municipal,Spring,925000.0,1123780,198780.0,17.69,963239,38239.0,3.97,-160541,-14.29,18.0,-81599.0,3.38
PROP_0056,New Britain,Single Family,3,2.0,2240.0,8712.0,64,1,Poor,2,0,1,1,1,0,1,25,20,1,1,0,0,0,7,87,85,2,0,7045,1686,120,1,0,1,1,0,15044,Street,Electric,Central AC,Asphalt Shingle,Slab,Laminate,Brick,Municipal,Municipal,Winter,299900.0,357327,57427.0,16.07,357326,57426.0,16.07,-1,-0.0,37.0,27382.0,42.28
PROP_0057,New London,Townhouse,3,2.0,1404.0,6098.400000000001,46,1,Fair,2,0,1,0,1,1,1,15,20,0,0,1,237,0,8,72,55,8,1,6911,1920,60,1,0,0,1,1,14139,Garage,Heat Pump,Central AC,Asphalt Shingle,Slab,Carpet,Vinyl Siding,Municipal,Municipal,Summer,300000.0,297306,-2694.0,-0.91,297372,-2628.0,-0.88,66,0.02,21.0,-31767.0,-0.74
PROP_0058,Greenwich,Single Family,3,4.0,2631.0,191228.4,44,1,Poor,2,0,0,1,0,1,1,25,18,0,1,0,0,0,9,48,35,1,0,37914,12272,90,1,0,0,1,1,189214,Garage,Oil,Central AC,Tile,Crawl Space,Laminate,Vinyl Siding,Municipal,Municipal,Winter,2100000.0,1936743,-163257.0,-8.43,1936761,-163239.0,-8.43,18,0.0,24.0,-367453.0,-48.81
PROP_0059,Waterford,Single Family,3,3.0,1647.0,10018.8,58,1,Fair,2,0,1,1,0,1,1,25,20,1,0,0,0,0,5,66,46,10,0,11649,2910,30,1,0,0,0,0,27660,Driveway,Electric,Central AC,Asphalt Shingle,Crawl Space,Tile,Vinyl Siding,Well,Municipal,Fall,529900.0,609200,79300.0,13.02,584584,54684.0,9.35,-24616,-4.04,13.0,12024.0,22.5
PROP_0060,Kent,Single Family,3,2.0,1800.0,72309.59999999999,58,2,Fair,2,0,0,0,1,1,1,25,20,0,0,0,0,0,6,60,59,9,0,9164,2626,90,0,0,0,1,1,23692,Street,Gas,Central AC,Asphalt Shingle,Slab,Carpet,Brick,Municipal,Septic,Summer,460000.0,500429,40429.0,8.08,439957,-20043.0,-4.56,-60472,-12.08,14.0,-58735.0,-12.19
PROP_0061,Stratford,Single Family,1,2.0,1550.0,8712.0,64,2,Distressed,0,0,0,0,1,1,1,25,20,1,0,0,0,0,7,42,30,12,0,4029,1766,10,0,0,0,0,0,60128,Driveway,Gas,Central AC,Tile,Slab,Hardwood,Brick,Well,Municipal,Fall,269900.0,246322,-23578.0,-9.57,246404,-23496.0,-9.54,82,0.03,1.0,-98624.0,-28.74
PROP_0062,Stafford,Single Family,1,3.0,4740.0,43560.0,60,2,Distressed,0,1,0,0,1,1,0,25,20,0,0,0,0,0,7,75,65,3,0,5602,2509,60,1,0,0,1,0,83271,Street,Electric,Central AC,Tile,Basement,Hardwood,Brick,Municipal,Municipal,Winter,425000.0,391839,-33161.0,-8.46,391810,-33190.0,-8.47,-29,-0.01,16.0,-131461.0,-26.89
PROP_0063,Willington,Single Family,3,2.0,1002.0,97574.4,45,1,Fair,2,0,0,0,0,1,0,25,20,0,0,0,0,0,9,31,28,10,0,3169,1429,30,2,0,0,0,0,10150,Driveway,Heat Pump,Central AC,Flat,Slab,Carpet,Vinyl Siding,Municipal,Municipal,Fall,229000.0,258829,29829.0,11.52,255437,26437.0,10.35,-3392,-1.31,23.0,1287.0,25.43
